iter	Logloss
0	0.6878492985
1	0.6825195257
2	0.6772508866
3	0.6721000875
4	0.6670447715
5	0.6620972243
6	0.6572233737
7	0.6524211175
8	0.6478127799
9	0.6432446341
10	0.6387600118
11	0.6343415204
12	0.6299551058
13	0.6256829703
14	0.6215705424
15	0.6174404238
16	0.6133524582
17	0.6093605303
18	0.6054977138
19	0.6016554833
20	0.5979587571
21	0.5942501242
22	0.5905721408
23	0.5870570813
24	0.5835944595
25	0.5801022373
26	0.5767134333
27	0.5733670643
28	0.5700548323
29	0.5667647626
30	0.563659539
31	0.5605330909
32	0.5574193964
33	0.5543671972
34	0.5514545882
35	0.5485491593
36	0.5456695634
37	0.5428365768
38	0.5400395837
39	0.5373552444
40	0.5347043781
41	0.5320266384
42	0.5294424087
43	0.526799764
44	0.5242612307
