iter	Passed	Remaining
0	34	3387
1	44	2160
2	69	2258
3	98	2360
4	126	2394
5	153	2407
6	182	2426
7	209	2412
8	238	2414
9	265	2386
10	292	2363
11	319	2340
12	351	2353
13	379	2332
14	413	2345
15	444	2332
16	473	2309
17	501	2286
18	533	2275
19	562	2251
20	591	2226
21	618	2191
22	646	2165
23	678	2149
24	705	2117
25	732	2084
26	761	2060
27	788	2027
28	819	2006
29	853	1991
30	863	1923
31	890	1892
32	916	1861
33	943	1831
34	974	1809
35	1001	1779
36	1029	1752
37	1046	1707
38	1075	1682
39	1102	1654
40	1130	1626
41	1159	1601
42	1186	1573
43	1219	1551
44	1246	1523
45	1273	1494
46	1302	1468
47	1331	1441
48	1366	1422
49	1442	1442
50	1480	1422
51	1527	1409
52	1562	1385
53	1595	1359
54	1642	1343
55	1675	1316
56	1707	1287
57	1743	1262
58	1776	1234
59	1810	1207
60	1842	1177
61	1864	1142
62	1898	1115
63	1930	1085
64	1966	1059
65	2000	1030
66	2038	1003
67	2074	976
68	2108	947
69	2148	920
70	2194	896
71	2227	866
72	2263	837
73	2295	806
74	2336	778
75	2382	752
76	2424	724
77	2460	694
78	2496	663
79	2536	634
80	2570	602
81	2606	572
82	2645	541
83	2678	510
84	2714	479
85	2747	447
86	2778	415
87	2819	384
88	2851	352
89	2888	320
90	2924	289
91	2979	259
92	3022	227
93	3061	195
94	3092	162
95	3119	129
96	3151	97
97	3181	64
98	3210	32
99	3239	0
