iter	Logloss
0	0.5087257034
1	0.4439386998
2	0.41257001
3	0.3924334865
4	0.3785741223
5	0.3710417099
6	0.3640034329
7	0.359016187
8	0.3563033408
9	0.3528134327
10	0.3506262436
11	0.349992127
12	0.3488444004
13	0.3480315216
14	0.3473353678
15	0.3468106833
16	0.3464587116
17	0.3456940702
18	0.3452043712
19	0.3442784179
20	0.3437323471
21	0.3433961096
22	0.3429187861
23	0.3426381819
24	0.3423403759
25	0.3418628576
26	0.3416268893
27	0.3414633996
28	0.3412469877
29	0.3409833494
30	0.3404652242
31	0.3401457586
32	0.3398398587
33	0.3395422238
34	0.3393994762
35	0.3391811469
36	0.3390538164
37	0.3389138521
38	0.3387191282
39	0.3384395415
40	0.338271812
41	0.3379906613
42	0.3378011398
43	0.3376946821
44	0.3375270101
45	0.3374226244
46	0.3373215248
47	0.3372072191
48	0.3370563933
49	0.3368855174
50	0.3367728953
51	0.3366548055
52	0.3365299309
53	0.3363834667
54	0.336280345
55	0.3360819945
56	0.3359446089
57	0.3358489985
58	0.3357653869
59	0.3356454946
60	0.3355200923
61	0.335471051
62	0.3353378298
63	0.3352918649
64	0.3351763058
65	0.3350766732
66	0.3349823415
67	0.3348718494
68	0.334748647
69	0.33464111
70	0.3345437386
71	0.3344438387
72	0.3343373513
73	0.3342361767
74	0.334164811
75	0.333987405
76	0.3338985701
77	0.3338104482
78	0.3336866016
79	0.3335780039
80	0.333443532
81	0.3333700552
82	0.3332978804
83	0.3332103775
84	0.3331467456
85	0.3330812173
86	0.3330245768
87	0.3329582543
88	0.3328977229
89	0.3328069059
90	0.3327407434
91	0.3326689888
92	0.3325904306
93	0.3325091149
94	0.3324265373
95	0.3323491764
96	0.3322784156
97	0.3322348646
98	0.3321725116
99	0.33212306
