iter	Passed	Remaining
0	6	607
1	12	609
2	18	597
3	24	586
4	30	584
5	36	574
6	42	569
7	48	557
8	54	548
9	60	542
10	66	534
11	72	529
12	78	523
13	84	516
14	90	513
15	96	506
16	102	499
17	108	494
18	114	486
19	121	484
20	130	490
21	137	485
22	143	479
23	148	471
24	154	464
25	160	456
26	166	449
27	171	440
28	176	433
29	182	426
30	188	418
31	194	413
32	199	405
33	205	399
34	211	392
35	216	385
36	222	378
37	227	371
38	233	364
39	239	358
40	245	352
41	250	346
42	256	339
43	263	335
44	269	328
45	274	322
46	281	316
47	287	311
48	293	305
49	299	299
50	304	292
51	310	286
52	315	280
53	321	273
54	327	267
55	332	261
56	338	255
57	344	249
58	350	243
59	358	238
60	363	232
61	369	226
62	376	220
63	381	214
64	387	208
65	393	202
66	398	196
67	404	190
68	411	184
69	417	179
70	424	173
71	430	167
72	435	161
73	441	155
74	447	149
75	453	143
76	458	137
77	464	131
78	470	125
79	477	119
80	482	113
81	488	107
82	497	101
83	506	96
84	512	90
85	518	84
86	524	78
87	530	72
88	536	66
89	542	60
90	548	54
91	554	48
92	559	42
93	565	36
94	571	30
95	577	24
96	582	18
97	588	12
98	594	6
99	600	0
